id,em,name,code
55,2676760,CHRobinson,MOEX.CHRW-RM:FQBR
56,2676763,CME,MOEX.CME-RM:FQBR
57,2501836,CVS Health,MOEX.CVS-RM:FQBR
58,2676765,Campbell,MOEX.CPB-RM:FQBR
59,2718357,CardinalHl,MOEX.CAH-RM:FQBR
60,2676761,Charter,MOEX.CHTR-RM:FQBR
61,2190354,Chevron,MOEX.CVX-RM:FQBR
62,2627092,ChrlSchwab,MOEX.SCHW-RM:FQBR
63,2501835,Cigna Corp,MOEX.CI-RM:FQBR
64,2718358,CincinnatF,MOEX.CINF-RM:FQBR
65,2627074,Cinemark,MOEX.CNK-RM:FQBR
66,2718361,CintasCorp,MOEX.CTAS-RM:FQBR
67,2139236,Cisco,MOEX.CSCO-RM:FQBR
68,2627073,Citigroup,MOEX.C-RM:FQBR
69,2718359,Cliffs,MOEX.CLF-RM:FQBR
70,2718360,Clorox,MOEX.CLX-RM:FQBR
71,2676762,Clover,MOEX.CLOV-RM:FQBR
72,2190358,Coca-Cola,MOEX.KO-RM:FQBR
73,2676764,Coinbase,MOEX.COIN-RM:FQBR
74,2374512,Colgate,MOEX.CL-RM:FQBR
75,2374513,Comcast,MOEX.CMCSA-RM:FQBR
76,2718364,ConEdison,MOEX.ED-RM:FQBR
77,2434059,ConocoPhil,MOEX.COP-RM:FQBR
78,2676787,ContextLog,MOEX.WISH-RM:FQBR
79,2676766,Copart,MOEX.CPRT-RM:FQBR
80,2627079,Corning,MOEX.GLW-RM:FQBR
81,2374514,Costco,MOEX.COST-RM:FQBR
82,2627075,Coty,MOEX.COTY-RM:FQBR
83,2627076,DRHorton,MOEX.DHI-RM:FQBR
84,2718363,Devon,MOEX.DVN-RM:FQBR
85,2501838,DexCom,MOEX.DXCM-RM:FQBR
86,2627077,Discovery,MOEX.DISCA-RM:FQBR
87,2028091,Disney,DIS-RM
88,2501837,DollarGnrl,MOEX.DG-RM:FQBR
89,2718362,DoverCorp,MOEX.DOV-RM:FQBR
90,2627078,Dow,MOEX.DOW-RM:FQBR
91,2374515,DuPont,MOEX.DD-RM:FQBR
92,2139237,EA Inc.,MOEX.EA-RM:FQBR
93,2655081,EM44-гдр,MOEX.EM44:TQBR
94,928412,ETLN-гдр,ETLN
95,2501839,Ecolab Inc,MOEX.ECL-RM:FQBR
96,2676767,Emerson,MOEX.EMR-RM:FQBR
97,2718365,Enphase,MOEX.ENPH-RM:FQBR
98,2718366,Expeditors,MOEX.EXPD-RM:FQBR
99,2028088,ExxonMobil,XOM-RM
100,2718367,F5Networks,MOEX.FFIV-RM:FQBR
101,491944,FIVE-гдр,FIVE
102,2388781,FIXP-гдр,MOEX.FIXP:TQBR
103,2028085,Facebook,FB-RM
104,2718370,Fastly A,MOEX.FSLY-RM:FQBR
105,2139239,FedEx,MOEX.FDX-RM:FQBR
106,2718369,FirstSolar,MOEX.FSLR-RM:FQBR
107,2434060,Fiserv,MOEX.FISV-RM:FQBR
108,2139238,Ford Motor,MOEX.F-RM:FQBR
109,2676768,Fox,MOEX.FOX-RM:FQBR
110,2718353,FranklinR,MOEX.BEN-RM:FQBR
111,2374517,Freeport,MOEX.FCX-RM:FQBR
112,2718368,Funko A,MOEX.FNKO-RM:FQBR
113,2543473,G1 Therap,MOEX.GTHX-RM:FQBR
114,2139240,GE Co,MOEX.GE-RM:FQBR
115,2655082,GEMC-гдр,MOEX.GEMC:TQBR
116,2134426,GLTR-гдр,MOEX.GLTR:TQBR
117,2139241,GM Co,MOEX.GM-RM:FQBR
118,2374519,Gap,MOEX.GPS-RM:FQBR
119,2718371,GenDynamic,MOEX.GD-RM:FQBR
120,2718372,GenuinePar,MOEX.GPC-RM:FQBR
121,2374518,Gilead,MOEX.GILD-RM:FQBR
122,2543472,GoldmanSac,MOEX.GS-RM:FQBR
123,2501840,Goodyear,MOEX.GT-RM:FQBR
124,2028079,Google C,GOOG-RM
125,2534843,HMSG-гдр,MOEX.HMSG:TQBR
126,2139242,HP,MOEX.HPQ-RM:FQBR
127,2501841,HPE,MOEX.HPE-RM:FQBR
128,2374520,Halliburt,MOEX.HAL-RM:FQBR
129,2543475,Hello Grp,MOEX.MOMO-RM:FQBR
130,2718377,HeronTx,MOEX.HRTX-RM:FQBR
131,2676769,Hershey,MOEX.HSY-RM:FQBR
132,2374521,Home Depot,MOEX.HD-RM:FQBR
133,2374522,Honeywell,MOEX.HON-RM:FQBR
134,2718376,HormelFood,MOEX.HRL-RM:FQBR
135,2676770,Humana,MOEX.HUM-RM:FQBR
136,2718374,Huntington,MOEX.HBAN-RM:FQBR
137,2190355,IBM,MOEX.IBM-RM:FQBR
138,2718378,ITW,MOEX.ITW-RM:FQBR
139,2434061,Illumina,MOEX.ILMN-RM:FQBR
140,2543474,Incyte,MOEX.INCY-RM:FQBR
141,2028093,Intel,INTC-RM
142,2501842,Intuit,MOEX.INTU-RM:FQBR
143,2501843,Intuitive,MOEX.ISRG-RM:FQBR
144,2190356,J&J,MOEX.JNJ-RM:FQBR
145,2627080,JD.com,MOEX.JD-RM:FQBR
146,2718380,JPMorgan,MOEX.JPM-RM:FQBR
147,2718379,JacobsEngG,MOEX.J-RM:FQBR
148,2718382,KLACorp,MOEX.KLAC-RM:FQBR
149,2627081,Kellogg,MOEX.K-RM:FQBR
150,2718381,KeyCorp,MOEX.KEY-RM:FQBR
151,2718383,KimberlyCl,MOEX.KMB-RM:FQBR
152,2718384,KinderM P,MOEX.KMI-RM:FQBR
153,2190357,KraftHeinz,MOEX.KHC-RM:FQBR
154,2627082,LVSands,MOEX.LVS-RM:FQBR
155,2434065,LamRsrch,MOEX.LRCX-RM:FQBR
156,2676780,Lauren,MOEX.RL-RM:FQBR
157,2718385,Legg&Platt,MOEX.LEG-RM:FQBR
158,2676771,LiAuto,MOEX.LI-RM:FQBR
159,2434063,Lilly,MOEX.LLY-RM:FQBR
160,2676772,Lincoln,MOEX.LNC-RM:FQBR
161,2718386,Livent,MOEX.LTHM-RM:FQBR
162,2374523,Lockheed,MOEX.LMT-RM:FQBR
163,2434064,Lowe's,MOEX.LOW-RM:FQBR
164,2501844,Lumen,MOEX.LUMN-RM:FQBR
165,1938060,MAIL-гдр,MAIL
166,2152359,MDMG-гдр,MOEX.MDMG:TQBR
167,2627085,MGMResorts,MOEX.MGM-RM:FQBR
168,2718389,MSCI,MOEX.MSCI-RM:FQBR
169,2374524,Macy's,MOEX.M-RM:FQBR
170,2627086,MarathnOil,MOEX.MRO-RM:FQBR
171,2434066,Marathon,MOEX.MPC-RM:FQBR
172,2028089,Master A,MA-RM
173,2718387,McCormick,MOEX.MKC-RM:FQBR
174,2028082,McDonald's,MCD-RM
175,2374526,Merck & Co,MOEX.MRK-RM:FQBR
176,2627084,MetLife,MOEX.MET-RM:FQBR
177,2543478,MicroStr,MOEX.MSTR-RM:FQBR
178,2028094,Micron,MU-RM
179,2028086,Microsoft,MSFT-RM
180,2374527,Moderna,MOEX.MRNA-RM:FQBR
181,2627083,Mondelez,MOEX.MDLZ-RM:FQBR
182,2501846,Monster,MOEX.MNST-RM:FQBR
183,2543477,MorganStan,MOEX.MS-RM:FQBR
184,2543476,Mosaic,MOEX.MOS-RM:FQBR
185,2190360,NIKE,MOEX.NKE-RM:FQBR
186,2028084,NVIDIA,NVDA-RM
187,2718390,NVR,MOEX.NVR-RM:FQBR
188,2374528,NVS-адр,MOEX.NVS-RM:FQBR
189,2676775,NetApp,MOEX.NTAP-RM:FQBR
190,2028081,Netflix,NFLX-RM
191,2139243,Newmont,MOEX.NEM-RM:FQBR
192,2718391,NewsCorp B,MOEX.NWS-RM:FQBR
193,2190359,NextEra En,MOEX.NEE-RM:FQBR
194,2676773,Nio,MOEX.NIO-RM:FQBR
195,2676774,Northrop,MOEX.NOC-RM:FQBR
196,2501847,Norton,MOEX.NLOK-RM:FQBR
197,2627087,Nucor,MOEX.NUE-RM:FQBR
198,2216507,OKEY-гдр,MOEX.OKEY:TQBR
199,2627089,ONEOK,MOEX.OKE-RM:FQBR
200,2179435,OZON-адр,MOEX.OZON:TQBR
201,2434068,Occidental,MOEX.OXY-RM:FQBR
202,2718392,OraSure,MOEX.OSUR-RM:FQBR
203,2374529,Oracle,MOEX.ORCL-RM:FQBR
204,2627088,Organon,MOEX.OGN-RM:FQBR
205,2190361,P&G,MOEX.PG-RM:FQBR
206,2676777,PACCAR,MOEX.PCAR-RM:FQBR
207,2718395,PBFEnergyA,MOEX.PBF-RM:FQBR
208,2718398,PPGIndustr,MOEX.PPG-RM:FQBR
209,2374530,PTR-адр,MOEX.PTR-RM:FQBR
210,2543479,Palantir,MOEX.PLTR-RM:FQBR
211,2139244,PayPal,MOEX.PYPL-RM:FQBR
212,2676776,Paychex,MOEX.PAYX-RM:FQBR
213,2718393,PaycomSoft,MOEX.PAYC-RM:FQBR
214,2718394,Peoples,MOEX.PBCT-RM:FQBR
215,2627090,PepsiCo,MOEX.PEP-RM:FQBR
216,1919466,Petropavl,POGR
217,2028095,Pfizer,PFE-RM
218,2627091,PhMorris,MOEX.PM-RM:FQBR
219,2676778,Phillips66,MOEX.PSX-RM:FQBR
220,2718396,PinterestA,MOEX.PINS-RM:FQBR
221,2718397,PlugPower,MOEX.PLUG-RM:FQBR
222,175924,Polymetal,POLY
223,2139245,QUALCOMM,MOEX.QCOM-RM:FQBR
224,2676779,Qorvo,MOEX.QRVO-RM:FQBR
225,2718399,Quidel,MOEX.QDEL-RM:FQBR
226,498713,Raven,RAVN
227,2434069,Raytheon,MOEX.RTX-RM:FQBR
228,2374531,Regeneron,MOEX.REGN-RM:FQBR
229,2718401,Regions,MOEX.RF-RM:FQBR
230,2718400,RenewEnerg,MOEX.REGI-RM:FQBR
231,2718375,RobinhoodА,MOEX.HOOD-RM:FQBR
232,2718402,RoperTech,MOEX.ROP-RM:FQBR
233,2676782,S&P,MOEX.SPGI-RM:FQBR
234,2501848,SAP SE,MOEX.SAP-RM:FQBR
